epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,8688.97,1.1415,0.90528,1.26293,0.73893,0.59259,0.68036,0.36287,1.58336,1.34475,1.51735,0.0014753,0.0014753,0.0014753
55,8851.56,1.09653,0.84583,1.246,0.74048,0.65692,0.72453,0.41874,1.46756,1.15468,1.46042,0.0014654,0.0014654,0.0014654
56,9013.69,1.12455,0.86763,1.2718,0.66092,0.61988,0.66508,0.36053,1.55314,1.29251,1.51124,0.0014555,0.0014555,0.0014555
57,9176.27,1.13023,0.88278,1.27117,0.77282,0.62573,0.72688,0.40526,1.55801,1.19546,1.53176,0.0014456,0.0014456,0.0014456
58,9338.91,1.1164,0.85035,1.24991,0.71828,0.59454,0.68405,0.3848,1.55818,1.30673,1.51703,0.0014357,0.0014357,0.0014357
59,9501.46,1.09926,0.84927,1.24342,0.72102,0.57505,0.68014,0.36529,1.59449,1.31007,1.53813,0.0014258,0.0014258,0.0014258
60,9663.47,1.10707,0.84219,1.24865,0.75774,0.61209,0.71137,0.38493,1.60283,1.22809,1.51716,0.0014159,0.0014159,0.0014159
61,9825.69,1.08492,0.82201,1.23391,0.71258,0.62827,0.68777,0.36902,1.58527,1.30118,1.52622,0.001406,0.001406,0.001406
62,9988.27,1.10355,0.84698,1.2502,0.72985,0.61988,0.70547,0.39273,1.54414,1.20743,1.5169,0.0013961,0.0013961,0.0013961
63,10150.8,1.0568,0.80541,1.22208,0.77352,0.62378,0.72562,0.4134,1.52407,1.18028,1.47738,0.0013862,0.0013862,0.0013862
64,10313.4,1.07758,0.80431,1.21856,0.69684,0.6273,0.70963,0.39353,1.53943,1.23432,1.49507,0.0013763,0.0013763,0.0013763
65,10476.1,1.10475,0.82741,1.23128,0.74371,0.62573,0.71035,0.38824,1.56313,1.21295,1.51596,0.0013664,0.0013664,0.0013664
66,10639,1.08734,0.82834,1.23002,0.6951,0.61771,0.6767,0.37314,1.55673,1.31027,1.52437,0.0013565,0.0013565,0.0013565
67,10801.6,1.05828,0.80006,1.21725,0.67465,0.60819,0.68811,0.36529,1.58583,1.26908,1.51297,0.0013466,0.0013466,0.0013466
68,10964,1.0907,0.83343,1.21719,0.70027,0.64912,0.71086,0.37817,1.6027,1.25959,1.54939,0.0013367,0.0013367,0.0013367
69,11132.9,1.06603,0.80068,1.22794,0.68161,0.65107,0.69595,0.37972,1.5918,1.21966,1.52459,0.0013268,0.0013268,0.0013268
